"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"26523","MYO1F",8086,7288,6700,5112,3991
"26524","MYO1G",2500,2113,2445,1614,1712
"26525","MYO1H",3,1,0,1,0
"26526","MYO3A",0,0,0,0,0
"26527","MYO3B",30,0,26,1,3
"26528","MYO5A",784,418,757,493,255
"26529","MYO5B",14,2,3,3,0
"26530","MYO5BP1",0,0,0,0,0
"26531","MYO5BP2",0,0,1,0,0
"26532","MYO5BP3",0,0,0,0,0
"26533","MYO5C",4,6,6,10,4
"26534","MYO6",22,35,111,23,26
"26535","MYO7A",25,19,28,28,16
"26536","MYO7B",75,76,73,31,8
"26537","MYO9A",229,115,197,159,63
"26538","MYO9B",2470,2114,1689,1874,1204
"26539","MYOC",0,0,0,0,0
"26540","MYOCD",0,0,0,0,0
"26541","MYOD1",0,0,0,0,0
"26542","MYOF",323,127,359,161,260
"26543","MYOG",0,0,0,0,0
"26544","MYOM1",40,16,31,13,26
"26545","MYOM2",1150,8,1685,34,306
"26546","MYOM3",0,0,0,0,0
"26547","MYOT",2,1,0,1,0
"26548","MYOZ1",0,0,0,0,0
"26549","MYOZ2",0,0,0,0,0
"26550","MYOZ3",2,0,1,0,0
"26551","MYPN",0,0,0,0,0
"26552","MYPOP",42,46,21,51,25
"26553","MYRF",10,8,55,4,4
"26554","MYRFL",0,0,2,1,1
"26555","MYRIP",1,0,0,0,0
"26556","MYSM1",465,230,313,225,80
"26557","MYT1",0,0,2,1,1
"26558","MYT1L",0,0,0,1,2
"26559","MYT1L-AS1",0,0,0,0,0
"26560","MYZAP",6,2,14,0,5
"26561","MZB1",143,42,29,51,64
"26562","MZF1",127,96,78,91,74
"26563","MZF1-AS1",2,7,3,2,5
"26564","MZT1",50,40,48,35,32
"26565","MZT1P1",0,0,0,0,0
"26566","MZT1P2",0,0,0,0,0
"26567","MZT2A",86,129,104,111,131
"26568","MZT2B",142,125,161,103,128
"26569","Metazoa_SRP",40,15,26,23,11
"26570","Mico1",0,0,0,0,0
